OBJECTID,Id,CrashCount,GroupCode,NUM_FATAL,NUM_INJURY,NUM_NONINJ,EPDO,L1STREET,L2STREET,L1STREETRT,L2STREETRT,FC1STREET,FC2STREET,FC1STREETR,FC2STREETR,RPAS,TOWNS,MASSDOT,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTLength,Top_200_Ca,Top_in_RPA,RPA_abbrev,Shape_Leng
2074,0,7,39f96b16-893f-4971-abbc-957f3bbc1ee3,0,2,5,15,MILESTONE ROAD, ,N4577,B1,MILESTONE ROAD,SPARKS AVENUE,N4577,N4577,NANTUCKET PLANNING & ECONOMIC DEVELOPMENT COMMISSION,NANTUCKET,5,{6856F8F9-F4E2-48AD-9341-6914DA47AE43},,,,,247.561434, ,Y,NPEDC,247.561429
2075,0,18,d142c5ae-659a-4f2d-bb34-e95c7eab8a90,0,5,13,38,PEARL STREET,COOLIDGE AVENUE,N4138,N3986,PEARL STREET,COOLIDGE AVENUE,N4138,N3986,MONTACHUSETT REGIONAL PLANNING COMMISSION,FITCHBURG,3,{51791B3C-674B-46C8-A521-F6A4C9DF813A},,,,,156.880234, ,Y,MRPC,156.880307
2076,0,26,132bfc99-d7ee-4f56-8163-130160f91318,0,7,19,54,MAIN STREET,HARVARD STREET,N1413,N1450,MAIN STREET,HARVARD STREET,N1413,N1450,METROPOLITAN AREA PLANNING COUNCIL,MEDFORD,4,{95E12DF4-C7F3-450E-B5D3-52FEBBC28CED},,,,,358.296602, ,Y,MAPC,358.296599
2077,0,18,60bbced5-1caa-4a6c-a0f4-c55e370320ea,0,3,15,30,COLUMBIA STREET,DEPOT STREET,SR8 NB,L195700 NB,COLUMBIA STREET,HOOSAC STREET,SR8 NB,N1044 EB,BERKSHIRE REGIONAL PLANNING COMMISSION,ADAMS,1,{04FDC39C-4AEB-4FA2-977F-12C6B51F62A0},,,,,205.376836, ,Y,BRPC,205.376736
2078,0,23,445c92dc-3333-48f8-bb16-f66aa5c2fab1,0,5,18,43,CABOT STREET,DODGE STREET,SR97 NB,SR1A NB,CABOT STREET,DODGE STREET,SR97 NB,SR1A NB,METROPOLITAN AREA PLANNING COUNCIL,BEVERLY,4,{36CB0CC8-459F-4348-806A-7E443EF6F42B},,,,,229.42754, ,Y,MAPC,229.427468
2079,0,47,b04a5fc1-1733-4e89-a91a-85e924cf911b,0,11,36,91,GENERAL CASIMIR PULASKI SKYWAY,SOUTHAMPTON STREET,I93 NB,N123 EB,GENERAL CASIMIR PULASKI SKYWAY,SOUTHAMPTON STREET,I93 NB,N123 EB,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{55371B4F-BD6A-4539-B78D-C978202CC6D6},,,,,413.497179, ,Y,MAPC,413.497238
2080,0,43,21bef725-6196-4e65-b6a3-ccc602d8d39a,0,29,14,159,ARMORY CIRCLE,ARMORY STREET, ,N015 NB,ARMORY CIRCLE,ARMORY STREET, ,N015 NB,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{57253AB5-B367-4023-831F-62A7BD116702},,,,,156.880364,"N, RAMP",Y,PVPC,156.880307
2081,0,110,99b1147a-e6e5-4071-a5c6-c86addf9296c,0,26,84,214,AGAWAM ROTARY,RAMP-RT 5 NB TO RT 57,SR57 WB,SR57 WB,AGAWAM ROTARY,RAMP-RT 5 NB TO RT 57,SR57 WB,SR57 WB,PIONEER VALLEY PLANNING COMMISSION,AGAWAM,2,{87B72FB9-078C-49D4-A811-F8AE71DF908C},,,,,254.338956,"N, ROTARY",Y,PVPC,254.338992
2082,0,33,5ab85f32-89cb-4233-9565-fe61cc4e92e6,0,5,28,53,GRAFTON STREET,SUNDERLAND ROAD,SR122 NB,N3750,GRAFTON STREET,SUNDERLAND ROAD,SR122 NB,N3750,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{1DEED846-CEDE-468D-8849-0E2AB94B5664},,,,,242.296239, ,Y,CMRPC,242.296162
2083,0,24,ff0a35ee-881b-4ae6-805e-37310055d11a,0,5,19,44,BROADWAY,SAINT JAMES AVENUE,N4905,N4920,BROADWAY,SAINT JAMES AVENUE,N4905,N4920,PIONEER VALLEY PLANNING COMMISSION,CHICOPEE,2,{2D5D2B12-976E-40AD-ACBA-7E08A65BACA7},,,,,203.000866, ,Y,PVPC,203.000899
2084,0,22,5cdf4e35-f0df-4201-82d6-54e818c4760c,0,11,11,66,WORCESTER ROAD,RAMP-RT 30 TO RT 9 WB,SR9 EB,R50024,WORCESTER ROAD,RAMP-RT 30 TO RT 9 WB,SR9 EB,R50024,METROPOLITAN AREA PLANNING COUNCIL,FRAMINGHAM,3,{27FAF78D-EB6A-40FA-8095-8753B41B5765},,,,,294.608098, ,Y,MAPC,294.608085
2085,0,37,b44a21cb-d2f3-4c92-9950-63c8f1ef689e,0,13,24,89,PRINCETON BOULEVARD,WOOD STREET,SR3A NB,N090 NB,WOOD STREET,PRINCETON BOULEVARD,N090 NB,SR3A NB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{E07554C4-C203-43CB-B0BC-F11F2AADEE61},,,,,327.305427, ,Y,NMCOG,327.305363
2086,0,29,5b728f80-f58e-4ae0-aef8-071f9ab3f4fa,0,7,22,57,JAMES REYNOLDS ROAD, ,SR136 NB, ,JAMES REYNOLDS ROAD, ,SR136 NB, ,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SWANSEA,5,{E53BB808-C0CD-4E39-ACBC-562FC5274F62},,,,,301.715926, ,Y,SRPEDD,301.715858
2087,0,193,422faf2d-e476-4491-aa74-370e75ab8fde,0,46,147,377,INTERSTATE 93,RAMP-RTS 93 SB/3 SB TO FURNACE BROOK PKY,I93 NB,R12075,INTERSTATE 93,RAMP-RTS 93 SB/3 SB TO FURNACE BROOK PKY,I93 NB,R12075,METROPOLITAN AREA PLANNING COUNCIL,QUINCY,6,{9EF2F7B7-9884-4EDA-BF96-3670DB0EEBBE},,,,,230.857723,"N, HIGHWAY",Y,MAPC,230.857742
2088,0,54,59651866-2a34-4750-b130-e799074fbffc,0,7,47,82,MASSACHUSETTS AVENUE,MYSTIC STREET,US3 NB,SR60 EB,MASSACHUSETTS AVENUE,MYSTIC STREET,US3 NB,SR60 EB,METROPOLITAN AREA PLANNING COUNCIL,ARLINGTON,4,{7F775A29-FEFA-413E-BB3F-6B9D6C43258D},,,,,222.622832, ,Y,MAPC,222.622808
2089,0,162,29db2cd6-6ba6-4d60-becf-2eb060ef0c2e,1,45,116,351,AMVETS MEMORIAL HIGHWAY,COUNTY STREET,SR24 NB,SR140 NB,AMVETS MEMORIAL HIGHWAY,RAMP-RT 24 NB TO RT 140 NB,SR24 NB,R22520,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,TAUNTON,5,{F04383E8-3971-4EFC-AFE4-836D0950A572},,,,,263.817665,"N, HIGHWAY",Y,SRPEDD,263.817708
2090,0,58,6a518f78-ab95-4aac-aff5-03f529ddd841,0,3,55,70,LINDEN STREET, ,N2747, ,LINDEN STREET, ,N2747, ,METROPOLITAN AREA PLANNING COUNCIL,WELLESLEY,6,{62C4E65F-87C1-4B99-BD00-ADF7C46B96F4},,,,,277.299417, ,Y,MAPC,277.299377
2091,0,33,18638e21-0037-49ea-9dff-623ca089b793,0,9,24,69,LYNNFIELD STREET,SUMMIT STREET,N377,N1222 NB,LYNNFIELD STREET,SUMMIT STREET,N377,N1222 NB,METROPOLITAN AREA PLANNING COUNCIL,PEABODY,4,{F9ADFA41-DFD2-4574-B851-8BE8A2B96957},,,,,224.087564, ,Y,MAPC,224.087587
2092,0,20,a24a3904-3fca-4dd6-8398-5fde3d44c3e4,0,8,12,52,HOLYOKE ROAD,SPRINGDALE ROAD,N5042,N5043,HOLYOKE ROAD,SPRINGDALE ROAD,N5042,N5043,PIONEER VALLEY PLANNING COMMISSION,WESTFIELD,2,{FE1FED13-2128-4571-8B2B-922843A89EB8},,,,,156.880314, ,Y,PVPC,156.880337
2093,0,25,831b4d7a-8227-4f6b-bd16-357e835961ee,1,11,13,78,CHESTNUT STREET,CAREW STREET,N014 NB,SR20A EB,CHESTNUT STREET,CAREW STREET,N014 NB,SR20A EB,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{7C3EE3E8-F01A-45C9-87EB-9D49A075DCD8},,,,,156.880404, ,Y,PVPC,156.880397
2094,0,80,5d625cad-86d7-4e55-915c-10ba1dba18a9,0,26,54,184,INTERSTATE 93,MYSTIC AVENUE,I93 NB,SR38 NB,INTERSTATE 93,FELLSWAY,I93 NB,SR28 NB,METROPOLITAN AREA PLANNING COUNCIL,SOMERVILLE,4,{76724A76-D0EA-43B8-BE99-DC51FA300316},,,,,433.992727,Y,Y,MAPC,433.992712
2095,0,27,4590cf03-fb3f-49a7-85cc-0b0e332c2696,0,8,19,59,CHAUNCY STREET,ROUTE 140,SR106 EB,SR140 NB,ROUTE 140,CHAUNCY STREET,SR140 NB,SR106 EB,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,MANSFIELD,5,{3F6E1059-A333-42D4-851C-2A85AD3B729F},,,,,263.713363, ,Y,SRPEDD,263.713271
2096,0,12,a53f06f5-1abb-4fa3-ae1a-b74a3fbd8d7e,0,4,8,28,PARK STREET,MAIN STREET,US20 EB,US20 EB,PARK STREET,MAIN STREET,US20 EB,US20 EB,BERKSHIRE REGIONAL PLANNING COMMISSION,LEE,1,{E872B4CC-593E-4BA1-B3CF-B14AEA8A148A},,,,,250.286068, ,Y,BRPC,250.285996
2097,0,42,37cabf54-9a31-4f57-9fb7-e6209c343685,0,7,35,70,MAIN STREET,PROSPECT STREET,US20 EB,N2445,MAIN STREET,PROSPECT STREET,US20 EB,N2445,METROPOLITAN AREA PLANNING COUNCIL,WALTHAM,4,{E4DB7492-B783-482D-B47E-231D870117CB},,,,,272.103834, ,Y,MAPC,272.103844
2098,0,25,639b7d95-8f17-45d6-a4b9-cdad77c062ff,0,12,13,73,FIRST STREET,FENN STREET,US7 NB,N1006 EB,FIRST STREET,FENN STREET,US7 NB,N1006 EB,BERKSHIRE REGIONAL PLANNING COMMISSION,PITTSFIELD,1,{08151140-0CFE-484D-A6B9-71C4D51A8BD4},,,,,156.880274, ,Y,BRPC,156.880277
2099,0,23,cfb38dc4-805a-47b0-9cfd-c2f9140fc060,0,6,17,47,FRONT STREET,MAIN STREET,SR141 EB,SR141 EB,FRONT STREET,MAIN STREET,SR141 EB,SR141 EB,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{E8E6FDBB-E9F3-41DB-9764-F835372AED9E},,,,,174.962068, ,Y,PVPC,174.962122
2100,0,30,1f8b5899-3ea0-41b1-a98e-ff297bd14b75,0,5,25,50,WESTOVER ROTARY,WESTOVER ROAD, , ,WESTOVER ROTARY,WESTOVER ROAD, , ,PIONEER VALLEY PLANNING COMMISSION,CHICOPEE,2,{446D7D12-21F0-4298-81F4-C927EDBFA1C3},,,,,156.880245, ,Y,PVPC,156.880277
2101,0,58,574cb0c7-7712-4655-bcc1-4454a9ab9bb0,0,23,35,150,AIKEN STREET,VETERANS OF FOREIGN WARS HIGHWAY,N091 EB,N088 EB,AIKEN STREET,VETERANS OF FOREIGN WARS HIGHWAY,N091 EB,N088 EB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{5E495228-9308-4969-ADA1-39AB87521A8C},,,,,265.171193,Y,Y,NMCOG,265.171195
2102,0,53,d9acac8a-ce84-41de-b405-cde4eb61de3d,0,10,43,93,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO RT 38,I95 NB,R12660,YANKEE DIVISION HIGHWAY,RAMP-RTS 95 NB/128 NB TO RT 38,I95 NB,R12660,METROPOLITAN AREA PLANNING COUNCIL,WOBURN,4,{FF663681-71D7-4E35-BCBA-11D0C208B70C},,,,,158.182026, ,Y,MAPC,158.181997
2103,0,20,d90c9bbc-0166-4341-afbc-efeb8747f343,0,6,14,44,INTERSTATE 190,RAMP-RT 190 NB TO RT 12,I190 NB,R13511,INTERSTATE 190,RAMP-RT 190 NB TO RT 12,I190 NB,R13511,MONTACHUSETT REGIONAL PLANNING COMMISSION,STERLING,3,{180C83EC-C552-41C9-935D-850E8ECEFFCE},,,,,156.880231, ,Y,MRPC,156.88037
2104,0,22,7ad209c4-ba34-4041-98b6-7e9a4a2b6234,1,4,17,47,BROADWAY,INTERSTATE 495,SR97 NB,I495 SB,INTERSTATE 495,BROADWAY,I495 SB,SR97 NB,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{AC2045C7-B1D2-496E-B1FB-3881B7A9A609},,,,,189.325088, ,Y,MVPC,189.325104
2105,0,29,6593fd95-1834-4281-ac8a-1d21b163d21f,0,5,24,49,MAIN STREET,CHAPMAN STREET,SR2A EB,N3899,MAIN STREET,CHAPMAN STREET,SR2A EB,N3899,FRANKLIN REGIONAL COUNCIL OF GOVERNMENTS,GREENFIELD,2,{BBC3DB42-38E3-43F9-9112-04220305C561},,,,,614.193356, ,Y,FRCOG,614.193202
2106,0,82,39de030b-b332-4ac8-aa41-f4d53e8696ef,0,16,66,146,INTERSTATE 91,WEST COLUMBUS AVENUE,I91 NB,N010,INTERSTATE 91,SPRINGFIELD EXPRESSWAY,I91 NB,I291 EB,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{66A36BBB-651E-439C-B4AA-F56EA9E24F25},,,,,223.485275,"N, HIGHWAY",Y,PVPC,223.485263
2107,0,11,fab9fed7-71ed-415e-a6e9-2808416495d1,0,8,3,43,STATE STREET,MARGERIE STREET,N011,L106606,STATE STREET,MARGERIE STREET,N011,L106606,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{817EE891-CD81-43C6-B202-AB15B494011B},,,,,156.880502, ,Y,PVPC,156.880429
2108,0,24,9d29660a-63e5-414a-8bd3-dcffdaed1350,0,11,13,68,EAST MAIN STREET,SPRINGFIELD ROAD,US20 EB,US20 EB,EAST MAIN STREET,SPRINGFIELD ROAD,US20 EB,US20 EB,PIONEER VALLEY PLANNING COMMISSION,WESTFIELD,2,{1547EBFC-1BDF-4A28-A7E9-EC00A7315005},,,,,341.190061, ,Y,PVPC,341.190191
2109,0,39,ac482128-33bb-4952-9b98-e7e2f31a7b14,0,10,29,79,NEWBURYPORT TURNPIKE,HAVERHILL STREET,US1 NB,SR133 EB,NEWBURYPORT TURNPIKE,HAVERHILL STREET,US1 NB,SR133 EB,MERRIMACK VALLEY PLANNING COMMISSION,ROWLEY,4,{2DE44C1C-63D6-44D2-AC7F-3A52B3504CB2},,,,,156.880245, ,Y,MVPC,156.880277
2110,0,27,7daa51f2-8b4b-488c-95ac-c944a3833f81,0,13,14,79,GROVE STREET,CLINTON STREET,N4635,L199987,GROVE STREET,CLINTON STREET,N4635,L199987,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{05FD86F6-A539-4AC4-A78B-A36292DAE016},,,,,163.050021, ,Y,OCPC,163.049944
2111,0,20,ce352e1b-ece0-453d-8989-5216b7f40e80,0,4,16,36,GREAT NECK ROAD NORTH,QUASHNET ROAD,N3254,L217001,GREAT NECK ROAD NORTH,QUASHNET ROAD,N3254,L217001,CAPE COD COMMISSION,MASHPEE,5,{FCF999F9-02ED-49D1-8E0C-104A449C4C09},,,,,183.176596, ,Y,CCC,183.176526
2112,0,20,82a2985e-191b-4f0a-aa71-27328d5de224,0,5,15,40,RIVER STREET, ,SR110 EB, ,RIVER STREET, ,SR110 EB, ,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{C20D0803-6CB0-4917-AEB4-3EDC2D53C25A},,,,,156.880402, ,Y,MVPC,156.880337
2113,0,17,e3644b79-17d9-44d2-a702-b607e6bb6698,0,7,10,45,CHANDLER STREET,KING STREET,SR122 NB,L199405,CHANDLER STREET,KING STREET,SR122 NB,L199405,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{11DF77E2-3F79-4D7D-B3F9-8C9609981276},,,,,189.545748, ,Y,CMRPC,189.54572
2114,0,55,90da15aa-90a7-40a8-ae47-04ee9ba501dd,0,15,40,115,WORCESTER PROVIDENCE TURNPIKE,BOSTON ROAD,SR146 NB,N3543,WORCESTER PROVIDENCE TURNPIKE,BOSTON ROAD,SR146 NB,N3543,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,SUTTON,3,{27F0814C-A1A6-4D28-9B79-C629D0AECBB5},,,,,232.25746,Y,Y,CMRPC,232.257462
2115,0,16,8de8bed3-d5e4-4b28-9942-5f6ccdf6da58,0,8,8,48,BEDFORD STREET,SOUTH STREET,L166067,N1453 NB,SOUTH STREET,BEDFORD STREET,N1453 NB,L166067,METROPOLITAN AREA PLANNING COUNCIL,WALTHAM,4,{AE206F39-F7F8-42E1-B2F0-E79CF0CB3332},,,,,156.880452, ,Y,MAPC,156.880391
2116,0,27,d24c9e20-1d5e-42b2-9d31-4234e91e847d,0,13,14,79,APPLETON STREET,SOUTH STREET,SR110 EB,N4519,APPLETON STREET,SOUTH STREET,SR110 EB,N4519,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{B021A9BD-FCAF-4549-8383-32F3FB0CA16A},,,,,156.880486, ,Y,NMCOG,156.880403
2117,0,41,799d9699-ead7-4d3e-ba5c-7065b08c6b1b,0,8,33,73,HIGHLAND AVENUE,FIRST AVENUE,N1496 EB,L130750,HIGHLAND AVENUE,FIRST AVENUE,N1496 EB,L130750,METROPOLITAN AREA PLANNING COUNCIL,NEEDHAM,6,{70912D30-D59E-4772-8E70-A8F1410D1943},,,,,399.816749, ,Y,MAPC,399.816753
2118,0,23,ca7c8cd7-ca03-4bd4-a149-44b8960f6a14,0,9,14,59,PURCHASE STREET,ELM STREET,L173124,N5304,ELM STREET,PURCHASE STREET,N5304,L173124,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,NEW BEDFORD,5,{3D209001-96F4-4A88-8FB7-76D254156FC1},,,,,212.769022, ,Y,SRPEDD,212.768947
2119,0,31,45206a44-bd4a-497d-8db7-6efbc0e5dbda,0,10,21,71,INTERSTATE 495,RAMP-RT 495 NB TO RT 58,I495 NB,R13002,INTERSTATE 495,RAMP-RT 495 NB TO RT 58,I495 NB,R13002,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,WAREHAM,5,{E2820B51-C901-4C70-9B0B-C48CF92BFAA5},,,,,169.916734, ,Y,SRPEDD,169.916747
2120,0,50,5c793eb0-d141-4849-9cd8-9a00df0beb32,0,12,38,98,SOUTH FRANKLIN STREET,PLYMOUTH STREET,SR37 NB,SR139 EB,SOUTH FRANKLIN STREET,PLYMOUTH STREET,SR37 NB,SR139 EB,METROPOLITAN AREA PLANNING COUNCIL,HOLBROOK,5,{078A1056-0DBD-48C4-8FD2-0171265738E7},,,,,231.584442,Y,Y,MAPC,231.584433
2121,0,31,583b45e0-b071-4912-ab99-5a455a855a47,0,17,14,99,FOREST PARK AVENUE,SUMNER AVENUE,L152343,SR83 NB,SUMNER AVENUE,FOREST PARK AVENUE,SR83 NB,L152343,PIONEER VALLEY PLANNING COMMISSION,SPRINGFIELD,2,{9BF342A1-C031-473A-B342-963D6C301120},,,,,187.834127,Y,Y,PVPC,187.834252
2122,0,24,acdcb27a-1abf-42fc-a91a-e8974e6ff74d,0,6,18,48,MYSTIC AVENUE,TEMPLE STREET,SR38 NB,N2377,MYSTIC AVENUE,TEMPLE STREET,SR38 NB,N2377,METROPOLITAN AREA PLANNING COUNCIL,SOMERVILLE,4,{747BD05B-8619-4E30-B832-D14AF735C3B9},,,,,156.880345, ,Y,MAPC,156.880307
2123,0,22,c2a550cf-2499-4d2a-b569-6e995e8b990d,0,6,16,46,BROADWAY,BENNETT HIGHWAY,SR99 NB,US1 SB,BENNETT HIGHWAY,BROADWAY,US1 SB,SR99 NB,METROPOLITAN AREA PLANNING COUNCIL,SAUGUS,4,{A156347A-AAF2-4372-8BE5-29BDD9F3282C},,,,,156.880411, ,Y,MAPC,156.880374
2124,0,17,664a59ea-1e14-4868-a051-b70ea07ca2c5,0,8,9,49,WINCHESTER STREET,RACHEL ROAD,N3133,L155098,WINCHESTER STREET,RACHEL ROAD,N3133,L155098,METROPOLITAN AREA PLANNING COUNCIL,NEWTON,6,{D5D2BF09-963E-41F7-A317-09AD2B8C8858},,,,,156.880411, ,Y,MAPC,156.880337
2125,0,39,382b1194-7e7f-49d6-bc74-cc6195d5925b,0,10,29,79,INTERSTATE 95,RAMP-RT 95 SB TO RT 1,I95 SB,R12536,INTERSTATE 95,RAMP-RT 95 SB TO RT 1,I95 SB,R12536,METROPOLITAN AREA PLANNING COUNCIL,SHARON,5,{D9F7EBF7-D302-4ECA-9AD9-2D889B3DE9FC},,,,,156.880326, ,Y,MAPC,156.88031
2126,0,30,dda34e74-5eaa-4c99-a163-7ac6c72e2b1a,1,11,18,83,INTERSTATE 195,RAMP-RT 195 EB TO RT 136,I195 EB,R14003,INTERSTATE 195,RAMP-RT 195 EB TO RT 136,I195 EB,R14003,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,SWANSEA,5,{7FA8D8A5-16E3-4872-86A3-95F5B4F1E347},,,,,160.630204, ,Y,SRPEDD,160.630136
2127,0,35,b266250f-102a-4c21-8690-239f00c1c7d2,0,16,19,99,NORTH MAIN STREET,WEST ASHLAND STREET,N4627,L184742,NORTH MAIN STREET,EAST ASHLAND STREET,N4627,N4593,OLD COLONY PLANNING COUNCIL,BROCKTON,5,{5A42647C-04FF-4E3D-8F5C-12A003433348},,,,,383.55295,Y,Y,OCPC,383.553021
2128,0,32,4efa27f5-fa80-41ee-824b-ae58fde8a592,0,6,26,56,RIVER STREET,LOWELL AVENUE,SR110 EB,N4194,RIVER STREET,LOWELL AVENUE,SR110 EB,N4194,MERRIMACK VALLEY PLANNING COMMISSION,HAVERHILL,4,{00B4B6E6-00D1-4A5C-B16B-F2DCCAB49D1B},,,,,212.56173, ,Y,MVPC,212.561634
2129,0,25,e6066e1b-9ee7-4e39-81cc-2d4eed552c19,0,11,14,69,CHARLESGATE WEST,COMMONWEALTH AVENUE, ,SR2 WB,CHARLESGATE WEST,COMMONWEALTH AVENUE, ,SR2 WB,METROPOLITAN AREA PLANNING COUNCIL,BOSTON,6,{5239F543-F707-4531-9E1C-9903F9465387},,,,,156.880293, ,Y,MAPC,156.88031
2130,0,21,3034bfc3-993c-4b9b-b37a-31590a1f5365,0,8,13,53,CUTLER HIGHWAY, ,US1 NB, ,CUTLER HIGHWAY, ,US1 NB, ,METROPOLITAN AREA PLANNING COUNCIL,REVERE,4,{82E70979-0EF9-4B43-8686-1FC85BE6D407},,,,,511.200726, ,Y,MAPC,511.200662
2131,0,62,2bf854ff-da10-4516-b07c-99f9abdf60e7,0,16,46,126,INTERSTATE 93,RAMP-RT 93 NB TO DASCOMB RD,I93 NB,R12211,INTERSTATE 93,RAMP-RT 93 NB TO DASCOMB RD,I93 NB,R12211,MERRIMACK VALLEY PLANNING COMMISSION,ANDOVER,4,{BB6A027F-F035-45C6-B406-948E5C3A46D9},,,,,169.458415,"N, RAMP",Y,MVPC,169.458384
2132,0,40,af39fd7f-c28d-4a2b-9b10-189815fc034f,0,9,31,76,MAIN STREET,POND STREET,SR18 NB,SR58 NB,MAIN STREET,POND STREET,SR18 NB,SR58 NB,METROPOLITAN AREA PLANNING COUNCIL,WEYMOUTH,6,{0033457A-6599-4A50-AED2-E6BC0A2792E4},,,,,243.680434, ,Y,MAPC,243.68049
2133,0,29,dfff008b-2e1b-4b24-bead-a2087c182ec5,0,9,20,65,YANKEE DIVISION HIGHWAY,RAMP-WALNUT ST TO RT 95 NB,I95 NB,R12712,YANKEE DIVISION HIGHWAY,RAMP-WALNUT ST TO RT 95 NB,I95 NB,R12712,METROPOLITAN AREA PLANNING COUNCIL,LYNNFIELD,4,{EE430CB2-FD07-4C83-A0DD-5AF89CE58B9F},,,,,196.825326, ,Y,MAPC,196.825309
2134,0,22,32591446-a3b8-4cb8-bc1d-8d5bd4ca898e,0,8,14,54,MASSACHUSETTS AVENUE,BEECH STREET,SR2A EB,N1412,MASSACHUSETTS AVENUE,BEECH STREET,SR2A EB,N1412,METROPOLITAN AREA PLANNING COUNCIL,CAMBRIDGE,6,{7EFABE3A-CA80-4831-9F03-9159BF96C891},,,,,347.99952, ,Y,MAPC,347.999563
2135,0,16,2e383341-0dc3-433c-9fc0-146c7a5b16c0,0,5,11,36,FEDERAL STREET, ,US5 NB, ,FEDERAL STREET, ,US5 NB, ,FRANKLIN REGIONAL COUNCIL OF GOVERNMENTS,GREENFIELD,2,{336E1ADB-35AF-43D7-9EDE-5FAC75AB2A9F},,,,,174.807845, ,Y,FRCOG,174.807872
2136,0,20,4e540daf-6b79-4cd5-9ac5-e2edf2cbe4a1,0,7,13,48,MIDDLESEX STREET,PAWTUCKET STREET,N091 EB,N091 EB,MIDDLESEX STREET,PAWTUCKET STREET,N091 EB,N091 EB,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{496C9A92-BA28-4678-BFA5-54B4977EC47D},,,,,156.880337, ,Y,NMCOG,156.880344
2137,0,70,411a7b3f-57e9-4dfc-872c-ffd664e6878d,0,17,53,138,LINCOLN SQUARE,MAIN STREET,SR9 EB,N3582,LINCOLN SQUARE,MAIN STREET,SR9 EB,N3582,CENTRAL MASSACHUSETTS REGIONAL PLANNING COMMISSION,WORCESTER,3,{C81623AC-99CC-4FF7-A097-1941946E9A14},,,,,211.888779,Y,Y,CMRPC,211.888715
2138,0,28,c83cf123-cd90-4482-bc12-938c3a05955c,0,12,16,76,OLD STAGE ROAD,FALMOUTH ROAD,N3242,SR28 NB,FALMOUTH ROAD,OLD STAGE ROAD,SR28 NB,N3242,CAPE COD COMMISSION,BARNSTABLE,5,{55EB31CE-AAC9-4376-8257-25C17A160602},,,,,156.880316, ,Y,CCC,156.880328
2139,0,23,6c0cdc7a-bc21-4e6b-87cb-f192feb97d83,0,14,9,79,WASHINGTON STREET,MAY STREET,US1 NB,N5652,WASHINGTON STREET,MAY STREET,US1 NB,N5652,SOUTHEAST REGIONAL PLANNING & ECONOMIC DEVELOPMENT DISTRICT,ATTLEBORO,5,{C8CD664C-1568-4D06-B995-AB9CDF3204C5},,,,,231.50855, ,Y,SRPEDD,231.508671
2140,0,50,4798d39b-06bb-41a7-ac04-ee0b78020ea7,0,5,45,70,NORTH WESTFIELD STREET,SOUTH WESTFIELD STREET,SR187 NB,SR57 EB,SOUTH WESTFIELD STREET,SOUTHWICK STREET,SR57 EB,SR57 EB,PIONEER VALLEY PLANNING COMMISSION,AGAWAM,2,{DB36B953-C6D0-4759-A26C-D2A1EA7E56F7},,,,,432.591304, ,Y,PVPC,432.591429
2141,0,40,6e04594f-79e2-4541-a404-e456c0a35ecd,0,10,30,80,BRIDGE STREET, ,N088 EB,B1,BRIDGE STREET, ,N088 EB,B1,NORTHERN MIDDLESEX COUNCIL OF GOVERNMENTS,LOWELL,4,{F28287D0-2654-4D2C-BA5A-83E8E7BC1330},,,,,479.940432, ,Y,NMCOG,479.94036
